"Name","Agent","State","Created","Runtime","Sweep","num_val_samples","omit_rate","example_batch","val_batch","score"
"hopeful-sweep-91","usdyp3md","finished","2022-02-24T15:49:07.000Z","1098","5phl93hf","1000","0.1","9","10","-0.051622023809523854"
"elated-sweep-99","8nbeag0a","finished","2022-02-24T05:08:03.000Z","2471","5phl93hf","1000","0.1","9","9","-0.06304421768707487"
"rich-sweep-98","tksvaa08","finished","2022-02-24T04:51:28.000Z","2388","5phl93hf","1000","0.1","9","8","-0.039476302823117766"
"avid-sweep-97","8nbeag0a","finished","2022-02-24T04:34:10.000Z","2028","5phl93hf","1000","0.1","9","7","-0.0349190380377503"
"worldly-sweep-96","tksvaa08","finished","2022-02-24T04:17:42.000Z","2024","5phl93hf","1000","0.1","9","6","-0.021692755476846383"
"dazzling-sweep-95","8nbeag0a","finished","2022-02-24T03:53:08.000Z","2457","5phl93hf","1000","0.1","9","5","-0.06047799759127218"
"worthy-sweep-90","jk11f4f9","finished","2022-02-24T15:42:04.000Z","2004","5phl93hf","1000","0.1","9","4","-0.03306332472748136"
"fancy-sweep-93","tksvaa08","finished","2022-02-24T03:15:17.000Z","3741","5phl93hf","1000","0.1","9","3","-0.04632756858611993"
"iconic-sweep-89","jk11f4f9","finished","2022-02-24T14:45:48.000Z","3371","5phl93hf","1000","0.1","9","2","-0.06126102693602702"
"wise-sweep-88","usdyp3md","finished","2022-02-24T14:13:54.000Z","5707","5phl93hf","1000","0.1","9","1","-0.017519345238095237"
"ethereal-sweep-90","tksvaa08","finished","2022-02-24T01:51:43.000Z","1403","5phl93hf","1000","0.1","8","10","-0.07747046787832293"
"giddy-sweep-89","8nbeag0a","finished","2022-02-24T01:47:34.000Z","1609","5phl93hf","1000","0.1","8","9","-0.06389328031682158"
"stoic-sweep-88","8nbeag0a","finished","2022-02-24T01:20:20.000Z","1632","5phl93hf","1000","0.1","8","8","-0.035861589068825896"
"wobbly-sweep-87","tksvaa08","finished","2022-02-24T01:18:51.000Z","1970","5phl93hf","1000","0.1","8","7","-0.0364921878761616"
"silvery-sweep-86","8nbeag0a","finished","2022-02-24T00:47:17.000Z","1979","5phl93hf","1000","0.1","8","6","-0.02132174218857634"
"fresh-sweep-85","tksvaa08","finished","2022-02-24T00:37:05.000Z","2503","5phl93hf","1000","0.1","8","5","-0.043988710843289765"
"swept-sweep-84","8nbeag0a","finished","2022-02-24T00:02:17.000Z","2697","5phl93hf","1000","0.1","8","4","-0.045015105740181305"
"neat-sweep-87","usdyp3md","finished","2022-02-24T13:38:16.000Z","2135","5phl93hf","1000","0.1","8","3","-0.043355366549810995"
"radiant-sweep-82","tksvaa08","finished","2022-02-23T23:22:02.000Z","4500","5phl93hf","1000","0.1","8","2","-0.05305167875433413"
"lyric-sweep-86","jk11f4f9","finished","2022-02-24T13:03:20.000Z","6145","5phl93hf","1000","0.1","8","1","-0.026784027777777785"
"electric-sweep-97","fw42olwb","finished","2022-02-24T21:34:48.000Z","2038","5phl93hf","1000","0.1","7","10","-0.07177013888888896"
"expert-sweep-79","8nbeag0a","finished","2022-02-23T22:25:14.000Z","2886","5phl93hf","1000","0.1","7","9","-0.04867771704093641"
"neat-sweep-78","tksvaa08","finished","2022-02-23T22:14:43.000Z","2178","5phl93hf","1000","0.1","7","8","-0.04362824675324674"
"radiant-sweep-77","8nbeag0a","finished","2022-02-23T21:58:11.000Z","1617","5phl93hf","1000","0.1","7","7","-0.059348137820360115"
"dazzling-sweep-76","tksvaa08","finished","2022-02-23T21:42:41.000Z","1918","5phl93hf","1000","0.1","7","6","-0.030510588657573664"
"rose-sweep-89","jk11f4f9","finished","2022-02-24T12:22:32.000Z","2442","5phl93hf","1000","0.1","7","5","-0.07008986928104581"
"floral-sweep-88","usdyp3md","finished","2022-02-24T12:21:07.000Z","2383","5phl93hf","1000","0.1","7","4","-0.0495553429890976"
"frosty-sweep-87","usdyp3md","finished","2022-02-24T11:40:00.000Z","2465","5phl93hf","1000","0.1","7","3","-0.06439068613417319"
"fragrant-sweep-86","jk11f4f9","finished","2022-02-24T11:22:12.000Z","3618","5phl93hf","1000","0.1","7","2","-0.05962763888888895"
"celestial-sweep-71","tksvaa08","finished","2022-02-23T19:12:46.000Z","7204","5phl93hf","1000","0.1","7","1","-0.048448511904761925"
"electric-sweep-70","8nbeag0a","finished","2022-02-23T19:10:52.000Z","1889","5phl93hf","1000","0.1","6","10","-0.07945252053920393"
"colorful-sweep-69","8nbeag0a","finished","2022-02-23T18:34:40.000Z","2166","5phl93hf","1000","0.1","6","9","-0.05652935469962639"
"youthful-sweep-68","tksvaa08","finished","2022-02-23T18:33:27.000Z","2356","5phl93hf","1000","0.1","6","8","-0.05756744027577365"
"dandy-sweep-67","tksvaa08","finished","2022-02-23T17:51:28.000Z","2515","5phl93hf","1000","0.1","6","7","-0.047205340260895845"
"breezy-sweep-100","aun0j1cs","finished","2022-02-25T02:37:10.000Z","1387","5phl93hf","1000","0.1","6","6","-0.04793554884189331"
"laced-sweep-99","aun0j1cs","finished","2022-02-25T02:12:43.000Z","1466","5phl93hf","1000","0.1","6","5","-0.04874256631680597"
"legendary-sweep-94","fw42olwb","finished","2022-02-24T20:13:27.000Z","2631","5phl93hf","1000","0.1","6","4","-0.04589997042791609"
"avid-sweep-82","jk11f4f9","finished","2022-02-24T10:08:20.000Z","2360","5phl93hf","1000","0.1","6","3","-0.05876825396825406"
"divine-sweep-62","tksvaa08","finished","2022-02-23T15:45:01.000Z","3125","5phl93hf","1000","0.1","6","2","-0.06514725568942441"
"deft-sweep-98","orfhyupu","finished","2022-02-25T01:14:18.000Z","5366","5phl93hf","1000","0.1","6","1","-0.03625327380952383"
"worthy-sweep-60","tksvaa08","finished","2022-02-23T15:26:27.000Z","1109","5phl93hf","1000","0.1","5","10","-0.07527586919871493"
"astral-sweep-59","8nbeag0a","finished","2022-02-23T15:06:11.000Z","1328","5phl93hf","1000","0.1","5","9","-0.06560072186328476"
"unique-sweep-58","tksvaa08","finished","2022-02-23T15:02:54.000Z","1407","5phl93hf","1000","0.1","5","8","-0.05031039411069595"
"dutiful-sweep-57","8nbeag0a","finished","2022-02-23T14:39:41.000Z","1584","5phl93hf","1000","0.1","5","7","-0.051861749081162714"
"driven-sweep-56","tksvaa08","finished","2022-02-23T14:36:45.000Z","1565","5phl93hf","1000","0.1","5","6","-0.03902692374914602"
"wobbly-sweep-55","tksvaa08","finished","2022-02-23T14:06:14.000Z","1829","5phl93hf","1000","0.1","5","5","-0.05266145307769933"
"rare-sweep-54","8nbeag0a","finished","2022-02-23T14:03:05.000Z","2192","5phl93hf","1000","0.1","5","4","-0.055897155752973285"
"lucky-sweep-53","8nbeag0a","finished","2022-02-23T13:23:53.000Z","2348","5phl93hf","1000","0.1","5","3","-0.06285751984126996"
"bright-sweep-52","8nbeag0a","finished","2022-02-23T12:28:56.000Z","3291","5phl93hf","1000","0.1","5","2","-0.06762608550434208"
"comic-sweep-51","tksvaa08","finished","2022-02-23T12:15:34.000Z","6637","5phl93hf","1000","0.1","5","1","-0.04218399975087197"
"valiant-sweep-50","8nbeag0a","finished","2022-02-23T12:08:12.000Z","1239","5phl93hf","1000","0.1","4","10","-0.09122570537901196"
"dulcet-sweep-49","tksvaa08","finished","2022-02-23T11:53:10.000Z","1340","5phl93hf","1000","0.1","4","9","-0.08764559636270165"
"flowing-sweep-48","8nbeag0a","finished","2022-02-23T11:47:58.000Z","1212","5phl93hf","1000","0.1","4","8","-0.05948043184885291"
"hopeful-sweep-47","tksvaa08","finished","2022-02-23T11:29:38.000Z","1408","5phl93hf","1000","0.1","4","7","-0.06489682140461828"
"firm-sweep-46","8nbeag0a","finished","2022-02-23T11:19:29.000Z","1703","5phl93hf","1000","0.1","4","6","-0.03134163638681724"
"electric-sweep-45","tksvaa08","finished","2022-02-23T11:01:18.000Z","1694","5phl93hf","1000","0.1","4","5","-0.06725108452930816"
"daily-sweep-44","8nbeag0a","finished","2022-02-23T10:42:44.000Z","2201","5phl93hf","1000","0.1","4","4","-0.039249435719856035"
"peach-sweep-43","tksvaa08","finished","2022-02-23T10:19:48.000Z","2487","5phl93hf","1000","0.1","4","3","-0.04789941512080073"
"devoted-sweep-42","tksvaa08","finished","2022-02-23T09:16:29.000Z","3793","5phl93hf","1000","0.1","4","2","-0.0699608348856093"
"dandy-sweep-41","8nbeag0a","finished","2022-02-23T09:03:44.000Z","5935","5phl93hf","1000","0.1","4","1","-0.060380853174603205"
"glamorous-sweep-40","tksvaa08","finished","2022-02-23T08:51:45.000Z","1480","5phl93hf","1000","0.1","3","10","-0.0989441435170078"
"twilight-sweep-39","8nbeag0a","finished","2022-02-23T08:40:55.000Z","1363","5phl93hf","1000","0.1","3","9","-0.08184409139742202"
"youthful-sweep-38","tksvaa08","finished","2022-02-23T08:28:56.000Z","1367","5phl93hf","1000","0.1","3","8","-0.07708412698412705"
"dry-sweep-37","8nbeag0a","finished","2022-02-23T08:12:15.000Z","1718","5phl93hf","1000","0.1","3","7","-0.07306736488850721"
"bumbling-sweep-36","tksvaa08","finished","2022-02-23T07:58:57.000Z","1794","5phl93hf","1000","0.1","3","6","-0.06399524524524523"
"confused-sweep-35","8nbeag0a","finished","2022-02-23T07:38:43.000Z","2008","5phl93hf","1000","0.1","3","5","-0.07591874104371221"
"distinctive-sweep-34","tksvaa08","finished","2022-02-23T07:23:13.000Z","2142","5phl93hf","1000","0.1","3","4","-0.057783769841269886"
"clean-sweep-33","8nbeag0a","finished","2022-02-23T06:52:46.000Z","2752","5phl93hf","1000","0.1","3","3","-0.0857169037724594"
"kind-sweep-32","tksvaa08","finished","2022-02-23T06:12:32.000Z","4240","5phl93hf","1000","0.1","3","2","-0.06217719717594352"
"playful-sweep-80","usdyp3md","finished","2022-02-24T08:59:48.000Z","6465","5phl93hf","1000","0.1","3","1","-0.06130407131011612"
"hearty-sweep-30","tksvaa08","finished","2022-02-23T05:43:09.000Z","1761","5phl93hf","1000","0.1","2","10","-0.09885853174603174"
"playful-sweep-29","8nbeag0a","finished","2022-02-23T05:31:23.000Z","1679","5phl93hf","1000","0.1","2","9","-0.07664732745324855"
"northern-sweep-28","tksvaa08","finished","2022-02-23T05:18:07.000Z","1497","5phl93hf","1000","0.1","2","8","-0.07409706376421174"
"northern-sweep-27","8nbeag0a","finished","2022-02-23T05:07:51.000Z","1408","5phl93hf","1000","0.1","2","7","-0.07208184523809529"
"smooth-sweep-26","tksvaa08","finished","2022-02-23T04:54:47.000Z","1398","5phl93hf","1000","0.1","2","6","-0.06956954365079368"
"blooming-sweep-79","jk11f4f9","finished","2022-02-24T08:42:09.000Z","1767","5phl93hf","1000","0.1","2","5","-0.08723574854975459"
"pious-sweep-24","tksvaa08","finished","2022-02-23T04:06:24.000Z","2899","5phl93hf","1000","0.1","2","4","-0.07991981404065167"
"proud-sweep-78","usdyp3md","finished","2022-02-24T08:19:09.000Z","2435","5phl93hf","1000","0.1","2","3","-0.07771125584502345"
"lemon-sweep-22","8nbeag0a","finished","2022-02-23T02:40:03.000Z","3677","5phl93hf","1000","0.1","2","2","-0.07793562235956826"
"astral-sweep-21","tksvaa08","finished","2022-02-23T02:05:05.000Z","7273","5phl93hf","1000","0.1","2","1","-0.06891924603174607"
"zany-sweep-20","8nbeag0a","finished","2022-02-23T02:03:12.000Z","2209","5phl93hf","1000","0.1","1","10","-0.1054917658730158"
"desert-sweep-19","tksvaa08","finished","2022-02-23T01:38:06.000Z","1614","5phl93hf","1000","0.1","1","9","-0.0929013430689577"
"copper-sweep-18","8nbeag0a","finished","2022-02-23T01:35:16.000Z","1672","5phl93hf","1000","0.1","1","8","-0.09885683146498037"
"lively-sweep-17","8nbeag0a","finished","2022-02-23T01:08:13.000Z","1622","5phl93hf","1000","0.1","1","7","-0.11298036233272649"
"silver-sweep-16","tksvaa08","finished","2022-02-23T01:01:11.000Z","2213","5phl93hf","1000","0.1","1","6","-0.10289638088772508"
"rich-sweep-15","8nbeag0a","finished","2022-02-23T00:30:05.000Z","2284","5phl93hf","1000","0.1","1","5","-0.11041537310343728"
"sparkling-sweep-77","jk11f4f9","finished","2022-02-24T08:12:17.000Z","1788","5phl93hf","1000","0.1","1","4","-0.09794850451917858"
"atomic-sweep-13","tksvaa08","finished","2022-02-23T00:01:17.000Z","3588","5phl93hf","1000","0.1","1","3","-0.11141926710563976"
"vocal-sweep-80","usdyp3md","finished","2022-02-24T07:22:00.000Z","3426","5phl93hf","1000","0.1","1","2","-0.12152271105922792"
"soft-sweep-92","c8g4oy6g","finished","2022-02-24T19:20:43.000Z","7098","5phl93hf","1000","0.1","1","1","-0.088434741005249"
"deft-sweep-10","8nbeag0a","finished","2022-02-22T23:11:45.000Z","1667","5phl93hf","1000","0.1","0","10","-0.1754871325016585"
"desert-sweep-9","tksvaa08","finished","2022-02-22T23:07:34.000Z","1507","5phl93hf","1000","0.1","0","9","-0.24769094644094625"
